Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
22-03-2024,3492.8979535602366,3541.898286732168,3254.969280385531,3333.6879909564636,20574952329.43,400516287116.27,2024-03-22T00:00:00.000Z,2024-03-22T06:11:00.000Z,2024-03-22T21:38:00.000Z,2024-03-22T23:59:59.999Z
21-03-2024,3514.017479755692,3586.904915338158,3412.222704380479,3492.9913315229205,22213647921.92,419407322334.27,2024-03-21T00:00:00.000Z,2024-03-21T09:09:00.000Z,2024-03-21T18:45:00.000Z,2024-03-21T23:59:59.999Z
20-03-2024,3158.3968435467555,3534.826445658545,3059.6548999221054,3513.393032285249,36605316330.75,421947979245.64,2024-03-20T00:00:00.000Z,2024-03-20T23:42:00.000Z,2024-03-20T05:25:00.000Z,2024-03-20T23:59:59.999Z
19-03-2024,3518.347631304835,3546.5822520138304,3149.2867688416045,3157.6181789707343,34166976701.14,379252163859.28,2024-03-19T00:00:00.000Z,2024-03-19T00:21:00.000Z,2024-03-19T23:26:00.000Z,2024-03-19T23:59:59.999Z
18-03-2024,3642.29888445182,3642.4969855227205,3456.0911967779457,3517.985129727293,21162220223.79,422635979695.19,2024-03-18T00:00:00.000Z,2024-03-18T00:00:00.000Z,2024-03-18T17:10:00.000Z,2024-03-18T23:59:59.999Z
17-03-2024,3523.0298404910136,3676.2635268044323,3414.172381451382,3642.413006216292,19938757095.26,437365362293.23,2024-03-17T00:00:00.000Z,2024-03-17T22:42:00.000Z,2024-03-17T07:23:00.000Z,2024-03-17T23:59:59.999Z
16-03-2024,3736.104905345727,3780.8944949555444,3468.079303599297,3522.8601999488965,20199855931.51,423047432765.48,2024-03-16T00:00:00.000Z,2024-03-16T01:10:00.000Z,2024-03-16T23:19:00.000Z,2024-03-16T23:59:59.999Z
15-03-2024,3882.8568189744674,3928.7755738788937,3571.7746979687563,3735.220254560697,33505075433.33,448641609936.25,2024-03-15T00:00:00.000Z,2024-03-15T00:36:00.000Z,2024-03-15T09:15:00.000Z,2024-03-15T23:59:59.999Z
14-03-2024,4005.7451873660734,4011.1027698423536,3721.788672224687,3883.1403559222153,25434810822.75,466276052158.82,2024-03-14T00:00:00.000Z,2024-03-14T00:25:00.000Z,2024-03-14T19:44:00.000Z,2024-03-14T23:59:59.999Z
13-03-2024,3980.2651509851808,4083.0072485422984,3936.627188591547,4006.4569519053903,22028114690.77,481048430653.87,2024-03-13T00:00:00.000Z,2024-03-13T08:31:00.000Z,2024-03-13T13:58:00.000Z,2024-03-13T23:59:59.999Z
12-03-2024,4066.690353397678,4092.2841423537066,3831.889856533138,3980.273243852051,26917010932.18,478003888346.22,2024-03-12T00:00:00.000Z,2024-03-12T00:21:00.000Z,2024-03-12T17:23:00.000Z,2024-03-12T23:59:59.999Z
